max_depth,learning_rate,subsample,n_estimators,n_jobs,objective,reg_lambda,reg_alpha,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
3,0.01,0.8,1000,2,reg:squarederror,1,0.0,0.6472227573394775,2.2973579366137353,1.61005437374115,58.87848074096363,1.1039783358573914,33.332716941833496,0.6472227900628083,0.6367205381393433,2.3306816451415573,1.632131576538086,59.535019138055,1.102295994758606,28.598709106445312,0.6367253817868131
3,0.01,0.8,1000,2,reg:squarederror,1,0.5,0.6470571756362915,2.2978972152020423,1.6102746725082397,58.87466016528427,1.1036378145217896,33.31925964355469,0.6470571340544905,0.6365602016448975,2.3311957263509395,1.632208228111267,59.52680536178379,1.101525902748108,28.624143600463867,0.6365653292445687
3,0.01,0.8,1000,2,reg:squarederror,2,0.0,0.6471766233444214,2.2975083081382657,1.6100919246673584,58.880424102963744,1.103350281715393,33.33241558074951,0.6471765837267774,0.636623740196228,2.3309921940264107,1.6322585344314575,59.537579634508,1.1035929918289185,28.629274368286133,0.6366287022726727
3,0.01,0.8,1000,2,reg:squarederror,2,0.5,0.6473108530044556,2.297071176053107,1.6099886894226074,58.888902962175514,1.1036657094955444,33.32920265197754,0.6473108127766458,0.63677978515625,2.3304914697811396,1.632129192352295,59.547226815256195,1.1046636402606964,28.540307998657227,0.6367847937545192
3,0.01,0.9,1000,2,reg:squarederror,1,0.0,0.6469301581382751,2.298310642125807,1.6104239225387573,58.88936166067504,1.1047866344451904,33.30435276031494,0.6469301436309807,0.6364521980285645,2.3315420995580842,1.6326313018798828,59.55814075272801,1.1048064231872559,28.65611457824707,0.6364570738592519
3,0.01,0.9,1000,2,reg:squarederror,1,0.5,0.6469647884368896,2.2981978778420653,1.6103516817092896,58.89322955277183,1.106869399547577,33.35102081298828,0.6469647243162795,0.6365404725074768,2.3312591348013996,1.6325123310089111,59.560489630288096,1.105441927909851,28.698101043701172,0.6365453016295535
3,0.01,0.9,1000,2,reg:squarederror,2,0.0,0.6468610763549805,2.298535428012926,1.6105502843856812,58.901812844736554,1.1055169105529785,33.332886695861816,0.6468610514385955,0.6363495588302612,2.3318712444781284,1.6329216957092285,59.582255949537114,1.106137990951538,28.68609619140625,0.6363543575343424
3,0.01,0.9,1000,2,reg:squarederror,2,0.5,0.6468793153762817,2.298476199531601,1.6106503009796143,58.91709530979144,1.1060740947723389,33.31684398651123,0.6468792996041195,0.6364485025405884,2.331554063700696,1.6328372955322266,59.58486589961771,1.1057912111282349,28.67137336730957,0.6364532103921849
3,0.01,1.0,1000,2,reg:squarederror,1,0.0,0.6464800834655762,2.299775037959088,1.6114776134490967,58.940937468417495,1.1036598682403564,33.32719707489014,0.6464800722198347,0.6360560655593872,2.3328122056576337,1.6336694955825806,59.617561864777166,1.1041069030761719,28.604589462280273,0.636060435220783
3,0.01,1.0,1000,2,reg:squarederror,1,0.5,0.6465140581130981,2.2996645226660957,1.6114327907562256,58.93528475803183,1.1028581857681274,33.34625816345215,0.6465140586449454,0.6360591650009155,2.332802087616215,1.6336257457733154,59.611304139226995,1.101464033126831,28.595195770263672,0.6360636550697393
