n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,subsample,max_features,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
100,0.001,3,10,5,0.8,0.8,0.0937482746530004,3.6821614750876352,2.8200579389287728,124.97662717557272,2.3752454083500822,41.95799048658579,0.09374827469107327,0.09268685740182592,3.6833342169308896,2.8306290166144192,124.51171947151288,2.3752454083500822,39.95799048658579,0.09271995563434299
100,0.001,3,10,5,0.8,1.0,0.026068617021571594,3.8171795352495352,2.9347360762735217,130.1510213033304,2.554004806689576,42.543890931261814,0.026068617167751107,0.02608684744646017,3.81612544093957,2.9437633224903306,129.5721007588974,2.554472157094387,40.52567093234449,0.026122647158964396
100,0.001,3,10,5,1.0,0.8,0.09473990908800001,3.6801463851288903,2.8201074967239608,124.98888315018111,2.390047518683355,41.91519946858902,0.09473990908800001,0.09367526899152834,3.681327389236062,2.8306680531449353,124.52303613206799,2.390047518683355,39.91519946858902,0.09370808753026283
100,0.001,3,10,5,1.0,1.0,0.023521439028068247,3.8221679188653064,2.9394173916816113,130.29774752664127,2.56333344224206,42.55157783708421,0.023521439028068247,0.023567127808679755,3.82105881453881,2.948423726989725,129.71985341295365,2.563334601575866,40.540197902344,0.023602904793762147
100,0.001,5,10,5,0.8,0.8,0.10737792500459076,3.654367485411387,2.8046774973798616,124.31723325998342,2.442600098007018,41.60238535895555,0.10737792500520771,0.10571470143091488,3.656794644651246,2.815534301425137,123.86059656651402,2.442600098007018,39.60238535895555,0.10574760991890286
100,0.001,5,10,5,0.8,1.0,0.03666090283612067,3.7963653415289875,2.9163904238843736,129.26636131067664,2.515779632653423,42.50601452829906,0.03666090293873392,0.036623828709916095,3.7954255479656847,2.9255261947783513,128.70121167035023,2.5174990170035922,40.45022527312526,0.036658922671279015
100,0.001,5,10,5,1.0,0.8,0.10731643300041327,3.654493356436207,2.8046957904614196,124.3129942772837,2.4435863773572573,41.60252539418475,0.10731643300041327,0.10566441695786677,3.6568974515559813,2.815474901796304,123.8507681651253,2.4435863773572573,39.60252539418475,0.10569751713862119
100,0.001,5,10,5,1.0,1.0,0.037209686718076784,3.795283852721116,2.915688739353715,129.2389243266318,2.5119363854154626,42.490646969169184,0.037209686718076784,0.037229052937759355,3.794233155806696,2.9247279183735033,128.6727691863596,2.512698874770042,40.44835637426815,0.03726428701654394
100,0.001,7,10,5,0.8,0.8,0.1135040754560327,3.641805758893405,2.795669152281199,123.97279785462713,2.454927366213374,41.45835713977744,0.11350407546970975,0.11188386426804842,3.644159749237464,2.806462201949156,123.50434848572797,2.463930037756032,39.45835713977744,0.11191783225468976
100,0.001,7,10,5,0.8,1.0,0.05399049977800341,3.7620637927618428,2.8873806149876264,127.97826331498466,2.4829312666964483,42.3768825337832,0.053990499789616786,0.053729330537501396,3.761579249881257,2.896852750678857,127.44047543788778,2.484355715190356,40.34343252748813,0.05376336281161642
100,0.001,7,10,5,1.0,0.8,0.11335637776022867,3.6421091240313768,2.796022485141008,123.98659710479139,2.456343715894814,41.440491877118355,0.11335637776022867,0.11176372919995647,3.6444062128237227,2.8068009434916585,123.5203092709386,2.4663662893091374,39.440491877118355,0.11179752721655212
100,0.001,7,10,5,1.0,1.0,0.049715503016794726,3.7705545542153045,2.8942468709513576,128.20450993569844,2.4906825145893254,42.41953487352098,0.049715503016794615,0.049514424074161734,3.7699474099079877,2.9037052370293095,127.6673484685376,2.4934935988764964,40.35709911623996,0.049548352334508716
100,0.001,9,10,5,0.8,0.8,0.1179367147309427,3.632689506556562,2.7893536629816786,123.72585693701492,2.4343110629981326,41.429302213084334,0.11793671485323587,0.11579110780097635,3.6361347206450145,2.800791815258691,123.2894432188777,2.4411752322963505,39.427959246329685,0.1158255018404396
100,0.001,9,10,5,0.8,1.0,0.06406365349144938,3.74198087248976,2.8712260591421708,127.24555287518295,2.4748736462901135,42.30345611318871,0.06406365349622722,0.0633685504295719,3.7423714789821476,2.8812364550328544,126.73686003233338,2.477306883754906,40.228061186823986,0.06340209309482225
100,0.001,9,10,5,1.0,0.8,0.11794010305068048,3.632682529321718,2.7893720509730016,123.72364257362061,2.431859395835942,41.42261647223353,0.11794010305068048,0.11581847523709432,3.636078448617229,2.8008032580284117,123.28815277142628,2.435848128320046,39.41447076588483,0.11585300944372734
