n_estimators,num_leaves,learning_rate,max_depth,min_child_samples,objective,boosting_type,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
100,31,0.01,-1,1,regression,gbdt,0.8365240798652477,1.342360732200267,0.97554450305152,47.03374258906181,0.9667065460814355,35.6381011984013,0.8365240798652477,0.8382453017348389,1.3094346697693353,0.9630715772523358,46.93445486735497,0.9667065460814355,26.20049255165085,0.8382616553442549
100,31,0.01,-1,20,regression,gbdt,0.8361703925506221,1.3438120757376355,0.9749632964227745,47.01582961411408,0.9667065460814355,39.34121797142798,0.8361703925506221,0.8385442553588784,1.3082240672803205,0.9625392330170277,46.918037366441254,0.9667065460814355,27.341217971427984,0.8385603499054167
100,31,0.01,5,1,regression,gbdt,0.8328413792014561,1.3573965270213788,0.976378799248212,47.03912984680436,0.9640012778661087,41.71886193777109,0.8328413792014562,0.8354239458210553,1.3208050062878036,0.963760226020795,46.944497783341085,0.9640012778661087,29.71305444147221,0.8354415770032985
100,31,0.01,5,20,regression,gbdt,0.8325505399220313,1.3585768809088645,0.977247534328538,47.05912745110455,0.9619543197394163,41.63004001693144,0.8325505399220313,0.8356894012371583,1.3197393702789981,0.9644468668569596,46.9619550737472,0.9619543197394163,29.598824148223873,0.8357074641334405
100,31,0.01,10,1,regression,gbdt,0.8365240798652477,1.342360732200267,0.97554450305152,47.03374258906181,0.9667065460814355,35.6381011984013,0.8365240798652477,0.8382453017348389,1.3094346697693353,0.9630715772523358,46.93445486735497,0.9667065460814355,26.20049255165085,0.8382616553442549
100,31,0.01,10,20,regression,gbdt,0.8361703925506221,1.3438120757376355,0.9749632964227745,47.01582961411408,0.9667065460814355,39.34121797142798,0.8361703925506221,0.8385442553588784,1.3082240672803205,0.9625392330170277,46.918037366441254,0.9667065460814355,27.341217971427984,0.8385603499054167
100,31,0.05,-1,1,regression,gbdt,0.9913657427058516,0.30849976473452234,0.1558443057052369,4.713745761979625,0.060116162707368304,10.517220680201934,0.9913657427058516,0.9905060932278194,0.31723263965518866,0.1558936405144186,4.7216384940029785,0.060238070710517455,12.879763897311719,0.9905071761483064
100,31,0.05,-1,20,regression,gbdt,0.9906838076579494,0.3204509528591695,0.15360357586787415,4.629464714585694,0.05707090023354611,20.831063897094484,0.9906838076579494,0.9908394856618346,0.3116128174097426,0.15315476748635404,4.6340819378672595,0.05707090023354611,10.757725373703046,0.9908403806037992
100,31,0.05,5,1,regression,gbdt,0.9864987749127831,0.3857704280692899,0.19052502166405916,5.2343451981737195,0.07036660381344473,19.75934797302766,0.9864987749127831,0.9857123179133357,0.389167238519346,0.19058151384710623,5.25159842464961,0.07036660381344473,14.271692619067444,0.9857138631493848
100,31,0.05,5,20,regression,gbdt,0.9854563163457929,0.4003866180623102,0.19207041822905824,5.319632772179275,0.0717432746390938,31.452472999598818,0.9854563163457929,0.9857642067382768,0.38845992300914844,0.19118879855754753,5.328926782762122,0.0717432746390938,15.156524521333935,0.9857658776020595
100,31,0.05,10,1,regression,gbdt,0.9913761174983412,0.30831436470730533,0.1570480603993958,4.688987669526336,0.060298079054706744,10.230419970569514,0.9913761174983412,0.9904768081224886,0.31772153418183124,0.1573669690914369,4.701626454894846,0.060298079054706744,13.220462486013915,0.9904778267246992
100,31,0.05,10,20,regression,gbdt,0.9907897805411342,0.3186231547817347,0.1537933982283179,4.59793066880199,0.05686285690346171,20.520732843459246,0.9907897805411342,0.9909588703470155,0.3095756063187195,0.15334767337909902,4.603544285200646,0.05686285690346171,10.343902793709166,0.990959867245329
100,31,0.1,-1,1,regression,gbdt,0.9963308169709043,0.20110692806681543,0.09491641323576824,2.5304923276438065,0.035282561885436214,4.980467261113793,0.9963308169709043,0.9951922176537135,0.22575001237458625,0.09688936257269518,2.554821363883517,0.03542269933475506,13.284978403579178,0.9951925170581815
100,31,0.1,-1,20,regression,gbdt,0.9958808853042298,0.21308078426110993,0.09363530682988254,2.433789129311007,0.03223192666217045,13.73312797527118,0.9958808853042298,0.995548503298645,0.21722430256268047,0.09535196950475557,2.459015869352995,0.03258063086720142,9.361810663053603,0.9955487398838635
100,31,0.1,5,1,regression,gbdt,0.9933518101027137,0.2707036129416558,0.1295972801193111,3.445712410513963,0.04851183683910687,10.09700919567775,0.9933518101027137,0.992123273990771,0.28895369541034355,0.13157323361127612,3.475331686356653,0.048509368377591455,15.968710480090795,0.9921238189703813
100,31,0.1,5,20,regression,gbdt,0.9921596503893869,0.2939747694955941,0.1357343749815457,3.596801525504284,0.0543620765286299,23.24933396158089,0.9921596503893869,0.9919143728362828,0.2927603376866232,0.13733163513656332,3.6297313777804106,0.05467543208947756,10.0699312406235,0.9919149145065722
100,31,0.1,10,1,regression,gbdt,0.9963840361402497,0.19964313670926484,0.09458365242597883,2.465750849604261,0.034167551801278506,4.828974317894341,0.9963840361402497,0.9951876235393987,0.22585784522241964,0.0966429748461594,2.4940394535291883,0.03421939346584635,13.606325637112281,0.9951879506622092
100,31,0.1,10,20,regression,gbdt,0.9959014679987672,0.2125477487009732,0.09433156737589904,2.4372815247605333,0.033623998200513316,13.913478945504004,0.9959014679987672,0.9955859511498194,0.2163086820287826,0.09593720465255431,2.4593782568120397,0.03404649416892014,9.447455055682664,0.995586135685096
100,50,0.01,-1,1,regression,gbdt,0.8414746168097335,1.3218791421058531,0.9730644883743521,46.993101423214085,0.9667065460814355,26.205151752088053,0.8414746168097335,0.8423312974330486,1.292790435891674,0.9610322747086288,46.89631975884524,0.9667065460814355,24.767446294701763,0.8423467181498228
