n_estimators,max_features,min_samples_split,train_R2,train_RMSE,train_MAE,train_MAPE,train_MedAE,train_Max_Error,train_Explained_Var,test_R2,test_RMSE,test_MAE,test_MAPE,test_MedAE,test_Max_Error,test_Explained_Var
30,0.1,6,0.992717551,0.283322494,0.097170707,2.87129736,0.035238095,27.76381193,0.992717725,0.984805522,0.4013269,0.149450361,4.502610099,0.057936508,23.18220899,0.984806083
30,0.1,7,0.99195319,0.297820248,0.10313133,3.006047595,0.038095238,26.69372655,0.991953251,0.98427434,0.408281615,0.151418219,4.505209534,0.059207875,24.25218254,0.984275113
30,0.1,8,0.991142932,0.312454895,0.112646505,3.331158889,0.043896011,30.38261905,0.991142976,0.983695962,0.415721965,0.160936158,4.815096918,0.065277778,22.62392496,0.983696625
30,0.1,9,0.99075807,0.31917118,0.111106373,3.224545923,0.04,29.76923008,0.990758077,0.983962013,0.412316121,0.153219623,4.502309243,0.058105318,21.95155507,0.983964131
30,0.1,10,0.990099935,0.330340159,0.117558877,3.374823097,0.043426105,29.35458458,0.990099935,0.983139567,0.422755967,0.159288139,4.626643113,0.060603563,23.75488035,0.983141974
30,0.3,6,0.997729141,0.158211271,0.026921245,0.668992953,0,18.15366522,0.997729175,0.994670497,0.237683331,0.044641718,1.120459415,0,17.19077201,0.994670517
30,0.3,7,0.997503778,0.165876137,0.027382969,0.659394737,0,20.48969577,0.997503816,0.994698388,0.23706058,0.0434903,1.069437946,0,17.94713925,0.99469841
30,0.3,8,0.997096113,0.178909015,0.030646465,0.746383142,0,25.41002345,0.997096133,0.994525735,0.240889728,0.046662264,1.153083383,0,17.36813733,0.994525895
30,0.3,9,0.996687647,0.191077985,0.032232024,0.760535718,0,25.23030866,0.996687665,0.994106331,0.249947179,0.047353945,1.138734842,0,17.07385069,0.994106395
30,0.3,10,0.996577027,0.194242418,0.033474702,0.834405005,0,25.44394254,0.996577032,0.994181231,0.248353877,0.047537315,1.210834443,0,16.65126969,0.994181648
30,0.5,6,0.998542635,0.126743745,0.015745618,0.311453572,0,17.23609788,0.99854272,0.995952479,0.207133297,0.027539227,0.554934981,0,17.56261905,0.995952715
30,0.5,7,0.998137511,0.143281211,0.017063243,0.326574376,0,22.00960317,0.99813763,0.995640966,0.214956454,0.028567103,0.557520143,0,17.46138288,0.995641206
30,0.5,8,0.99803149,0.147302862,0.017965935,0.354257348,0,20.12393939,0.998031568,0.995601499,0.215927393,0.028568452,0.571703939,0,16.51714286,0.995601617
30,0.5,9,0.99774802,0.157552266,0.019321032,0.386129401,0,22.65186221,0.997748074,0.995353206,0.221938207,0.02967005,0.608569166,0,18.20109423,0.995353292
30,0.5,10,0.997811628,0.155311261,0.019402467,0.383339285,0,23.61176435,0.997811701,0.995741928,0.212452521,0.028788029,0.589623289,0,19.21837801,0.99574196
30,1,6,0.98837456,0.357970333,0.157667637,5.191239477,0.07702381,29.68544974,0.98837491,0.975163931,0.513093849,0.237338787,8.005754149,0.119444444,23.85874459,0.975164344
30,1,7,0.987161039,0.376190038,0.169505654,5.516627048,0.083007456,27.00435786,0.987161269,0.974362095,0.521310718,0.24470585,8.139865791,0.123333333,24.78500601,0.97436308
30,1,8,0.985778715,0.395923948,0.177806182,5.938813918,0.088451548,29.44816619,0.985778802,0.973907422,0.525912966,0.245104685,8.361408447,0.124151546,24.80953618,0.973908717
30,1,9,0.984119522,0.418383094,0.193663321,6.531516004,0.098196248,30.68726634,0.984119561,0.972174244,0.543098832,0.260480006,8.966286428,0.136494663,25.7859596,0.972177686
30,1,10,0.982649045,0.437324726,0.200908404,6.8491746,0.10279341,30.36612295,0.982649152,0.971281841,0.551738996,0.263745529,9.145232753,0.139232457,26.11419593,0.971283506
50,0.01,6,0.988772436,0.351791317,0.153767876,5.164959582,0.076330447,29.94010317,0.988772928,0.975676823,0.50776824,0.233988366,8.035359843,0.119777778,23.44163492,0.975676955
50,0.01,7,0.987457979,0.371814307,0.165720603,5.570874385,0.08338517,28.8760938,0.987458208,0.97482983,0.516533456,0.240497389,8.239021005,0.123667749,24.73731585,0.974830464
50,0.01,8,0.986138206,0.390887756,0.173754119,5.895941185,0.087257576,30.32231241,0.986138388,0.974410212,0.520821285,0.24132246,8.349553269,0.122982323,24.08014624,0.974411414
50,0.01,9,0.984621048,0.411723551,0.18833673,6.41966934,0.095969697,29.14475275,0.984621152,0.972988193,0.535096612,0.25460067,8.845943136,0.13321312,25.53434632,0.972990559
50,0.01,10,0.983441596,0.42722,0.194000659,6.704153539,0.100233905,32.10882139,0.983441781,0.972635586,0.538577817,0.25543088,8.973743898,0.13553638,24.7704751,0.972636942
50,0.1,6,0.992967411,0.278419696,0.094927124,2.791035549,0.034857143,27.31056638,0.992967556,0.984777559,0.40169602,0.147943773,4.413298729,0.056,23.08216667,0.984778253
